id,text,label
1,"Stocks rally after positive earnings from major banks",1
2,"Company faces lawsuit over environmental damages",0
3,"New vaccine shows promising results in early trials",1
4,"Terror attack causes multiple casualties",0
5,"Tech startup raises $100M in Series B funding",1
6,"Market falls as inflation fears rise",0
7,"Local team wins championship after dramatic final",1
8,"Factory fire injures several workers",0
9,"New smartphone release receives rave reviews",1
10,"Product recall after safety concerns",0
11,"Strong GDP growth surprises economists",1
12,"Massive data breach exposes millions of records",0
13,"Breakthrough in renewable energy announced",1
14,"Company CEO resigns amid scandal",0
15,"Community raises funds for flood relief",1
16,"Oil rig explosion kills multiple employees",0
